#{"t_start": 1639590939.9665973, "env_id": null}
r,l,t
-21.0,1203,1445.383047
-21.0,1348,1453.828739
-21.0,1288,1455.924821
-21.0,1102,1465.485126
-21.0,1182,1467.442604
-20.0,1130,1475.809112
-21.0,1104,1484.046268
-21.0,1184,1486.017831
-20.0,1147,1494.092838
-21.0,1083,1495.740194
-21.0,1498,1505.083876
-21.0,1082,1506.831941
-21.0,1168,1515.513966
-21.0,1169,1524.518808
-21.0,1184,1526.594703
-20.0,1147,1536.269252
-21.0,1187,1538.219931
-21.0,1179,1548.211325
-21.0,1089,1549.866313
-21.0,1052,1558.224373
-21.0,1161,1560.066707
-21.0,1103,1568.279792
-21.0,1098,1576.952832
-21.0,1263,1579.026728
-21.0,1117,1587.78407
-21.0,1112,1589.456275
-21.0,1344,1598.803983
-20.0,1124,1600.709413
-21.0,1171,1609.375971
-20.0,1110,1618.11472
-21.0,1256,1620.140334
-21.0,1173,1629.009384
-21.0,1102,1630.715087
-21.0,1104,1638.59823
-20.0,1274,1640.479425
-21.0,1096,1648.185017
-20.0,1119,1656.356442
-21.0,1091,1658.049697
-21.0,1101,1667.586712
-21.0,1100,1669.393359
-21.0,1091,1677.486835
-21.0,1150,1679.241215
-21.0,1055,1688.036563
-21.0,1252,1690.016468
-21.0,1177,1698.950716
-20.0,1326,1708.756146
-21.0,1098,1710.511354
-21.0,1159,1719.448176
-21.0,1380,1721.71728
-21.0,1214,1730.427055
-20.0,1314,1739.625191
-21.0,1109,1741.295809
-21.0,1076,1749.119917
-20.0,1125,1751.012056
-21.0,1117,1759.364321
-21.0,1093,1761.106053
-21.0,1183,1769.702209
-21.0,1223,1771.668322
-21.0,1056,1781.366216
-21.0,1092,1792.52584
-21.0,1095,1794.563715
-21.0,1073,1806.958948
-20.0,1160,1808.939641
-21.0,1180,1820.619838
-21.0,1091,1822.62675
-21.0,1034,1834.227791
-21.0,1171,1836.230099
-21.0,1185,1848.480259
-21.0,1050,1850.158254
-21.0,1090,1858.936826
-21.0,1185,1867.218148
-21.0,1097,1868.865268
-21.0,1102,1876.808345
-21.0,1090,1878.455081
-21.0,1092,1886.405128
-21.0,1100,1888.08315
-20.0,1194,1895.870908
-21.0,1098,1897.545639
-21.0,1103,1905.257674
-20.0,1204,1907.145688
-20.0,1129,1915.297329
-21.0,1260,1923.314176
-21.0,1025,1924.875175
-21.0,1096,1932.529662
-21.0,1197,1934.248219
-21.0,1182,1942.045236
-20.0,1109,1943.779795
-21.0,1192,1951.319087
-21.0,1179,1959.091305
-21.0,1018,1960.585414
-21.0,1107,1968.096432
-21.0,1177,1969.904949
-21.0,1102,1977.246825
-21.0,1094,1978.931233
-21.0,1108,1986.016035
-20.0,1117,1987.675774
-21.0,1271,1995.457594
-21.0,1112,1997.146123
-21.0,1190,2004.257931
-21.0,1183,2011.381112
-20.0,1338,2013.351954
-21.0,1173,2021.210639
-21.0,1097,2022.8641
-21.0,1136,2030.577792
-21.0,1186,2038.313625
-21.0,1170,2040.122413
-21.0,1277,2047.901876
-21.0,1101,2049.596399
-21.0,1176,2057.482881
-21.0,1111,2059.100185
-21.0,1175,2066.293018
-20.0,1117,2067.947283
-21.0,1045,2074.959035
-21.0,1111,2082.753828
-20.0,1213,2084.618473
-21.0,1108,2092.556935
-21.0,1008,2094.065281
-21.0,1111,2101.423547
-21.0,1056,2102.989102
-21.0,1014,2109.704188
-21.0,1025,2111.223782
-21.0,1099,2118.243763
-21.0,1104,2119.86102
-21.0,1022,2126.570065
-21.0,1022,2128.103649
-21.0,1041,2135.340255
-19.0,1315,2137.266048
-20.0,1224,2144.817871
-21.0,1423,2152.7545
